# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000f00   ---        --------
               6   N   00000f00   0000e101   00000f04   x10_a0     00000000
               7   N   00000f04   00004e01   00000f06   ---        --------
               8   N   00000f06   00000297   00000f08   x28_t3     00000000
               9   N   00000f08   bf828293   00000f0c   x05_t0     00000f08
              10   N   00000f0c   30529073   00000f10   x05_t0     00000b00
              11   N   00000f10   00004505   00000f14   ---        --------
              12   N   00000f14   0000057e   00000f16   x10_a0     00000001
              13   N   00000f16   00054863   00000f18   x10_a0     80000000
              14   N   00000f18   0ff0000f   00000f28   ---        --------
              17   N   00000f28   00028f63   00000f2c   x05_t0     00000000
              18   N   00000f2c   10529073   00000f4a   ---        --------
              22   N   00000f4a   00006509   00000f4e   ---        --------
              23   N   00000f4e   00006509   00000f4e   ---        --------
              24   N   00000f4e   80050513   00000f50   x10_a0     00002000
              25   N   00000f50   30052073   00000f54   x10_a0     00001800
              26   N   00000f54   00000297   00000f58   ---        --------
              27   N   00000f58   00000297   00000f58   ---        --------
              28   N   00000f58   0a828293   00000f5c   x05_t0     00000f58
              29   N   00000f5c   34129073   00000f60   x05_t0     00001000
              30   N   00000f60   f1402573   00000f64   ---        --------
              31   N   00000f64   30200073   00000f68   x10_a0     00000000
              33   N   00000f68   f00002b7   00001000   ---        --------
              36   N   00001000   00000000   00001004   x28_t3     00000002
              37   E   00001004   00000000   00000b00   mstatus    00001800
              37   E   00001004   00000000   00000b00   mepc       00001004
              37   E   00001004   00000000   00000b00   mcause     00000002
              37   E   00001004   00000000   00000b00   mtval      00000000
              40   N   00000b00   000047a1   00000b04   x14_a4     00000002
              41   N   00000b04   02f70963   00000b06   x15_a5     00000008
              42   N   00000b06   000047a5   00000b0a   ---        --------
              43   N   00000b0a   02f70663   00000b0c   x15_a5     00000009
              44   N   00000b0c   000047ad   00000b10   ---        --------
              45   N   00000b10   02f70363   00000b12   x15_a5     0000000b
              46   N   00000b12   00004789   00000b16   ---        --------
              47   N   00000b16   00f71463   00000b18   x15_a5     00000002
              48   N   00000b18   450000ef   00000b1c   ---        --------
              49   N   00000b1c   00000717   00000f6c   x01_ra     00000b20
              52   N   00000f6c   00000317   00000f70   x05_t0     f0000000
              53   N   00000f70   01c30313   00000f74   x06_t1     00000f70
              54   N   00000f74   00034383   00000f78   x06_t1     00000f8c
              56   N   00000f78   00038663   00000f7c   x07_t2     00000069
              57   N   00000f7c   00728023   00000f80   ---        --------
              59   N   00000f80   00000305   00000f84   ---        --------
              60   N   00000f84   0000bfcd   00000f86   x06_t1     00000f8d
              61   N   00000f86   00008082   00000f78   ---        --------
              65   N   00000f78   00038663   00000f7c   x07_t2     0000006e
              66   N   00000f7c   00728023   00000f80   ---        --------
              68   N   00000f80   00000305   00000f84   ---        --------
              69   N   00000f84   0000bfcd   00000f86   x06_t1     00000f8e
              70   N   00000f86   00008082   00000f78   ---        --------
              74   N   00000f78   00038663   00000f7c   x07_t2     00000063
              75   N   00000f7c   00728023   00000f80   ---        --------
              77   N   00000f80   00000305   00000f84   ---        --------
              78   N   00000f84   0000bfcd   00000f86   x06_t1     00000f8f
              79   N   00000f86   00008082   00000f78   ---        --------
              83   N   00000f78   00038663   00000f7c   x07_t2     0000006f
              84   N   00000f7c   00728023   00000f80   ---        --------
